French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
laisser,let
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
